car_model,year_of_make,car_age_years,mileage_km,primary_action,service_notes
Skoda Octavia,2020.0,5.0,95000,Transmission Repair,"Skoda Octavia, 95,000 km. DSG gearbox jerking at low speeds. Mechatronics unit checked. Software updated. Seems smoother now."
Mahindra XUV500,2020.0,5.0,105000,Suspension Repair,"Mahindra XUV500. 105,000 km. Suspension feels bouncy. Front and rear shock absorbers replaced. Vehicle feels much more stable now."
VW Polo,2020.0,5.0,60000,Engine Cleaning,"VW Polo Petrol. 60,000 kms service. Changed spark plugs, air filter, engine oil. Also cleaned the throttle body. Pickup has improved."
Maruti Dzire,2020.0,5.0,75000,AC Service,"2019 Maruti Dzire. 75,000km. AC cooling was poor. Condenser was clogged with dirt. Cleaned it. Cooling restored."
Hyundai i20,2020.0,5.0,45000,Wheel Alignment,"Hyundai i20. 45,000 km. Wheel alignment and balancing done. Tires were wearing unevenly."
Tata Harrier,2020.0,5.0,58000,Belt Replacement,"Tata Harrier. 58,000 km. Customer reported a squeaking noise. Traced to serpentine belt tensioner. Replaced tensioner pulley."
Honda Amaze,2020.0,5.0,90000,Filter Replacement,"Honda Amaze Diesel. 90,000km service. Replaced engine oil, oil filter, diesel filter, air filter. Also cleaned EGR valve."
Renault Kwid,2020.0,5.0,40000,Brake Service,"Renault Kwid Climber. 40,000 km. Brakes were making noise. Cleaned and serviced front and rear brakes. No parts changed."
Toyota Fortuner,2020.0,5.0,140000,Engine Cleaning,"Toyota Fortuner, 140,000 km. Black smoke on acceleration. Cleaned injectors. Smoke reduced significantly."
Jeep Compass,2020.0,5.0,50000,Oil Change,"Jeep Compass Limited Plus. 50,000 km. Routine service. Replaced cabin filter. Customer opted for synthetic oil."
Nissan Magnite,2020.0,5.0,25000,Checkup,"Nissan Magnite Turbo. 25,000 km. Checkup. No issues reported. General wash and fluid top-up."
MG Hector,2020.0,5.0,19800,Software Update,"2022 MG Hector. 19,800 kms. Second service. Performed oil change. A software patch for the infotainment system was also installed."
Skoda Kushaq,2020.0,5.0,35000,Checkup,"Skoda Kushaq 1.0 AT. 35,000 km. Customer reported slight jerkiness. Inspected transmission. Found nothing wrong. Advised customer to use better quality fuel."
Maruti Baleno,2020.0,5.0,62000,Clutch Repair,"Maruti Baleno. 62,000 km. Clutch is very hard. Clutch cable is frayed. Replaced cable. Much better now."
Hyundai Venue,2020.0,5.0,38000,Engine Repair,"Hyundai Venue Turbo. 38,000 km. Engine check light on. Faulty ignition coil on cylinder 2. Replaced coil."
Tata Punch,2020.0,5.0,22000,Oil Change,"Tata Punch. 22,000 km. Second service. Just oil and filter."
Honda WR-V,2020.0,5.0,58000,Brake Service,"Honda WR-V. 58,000 km. Handbrake was loose. Adjusted handbrake cable."
Mahindra Thar,2020.0,5.0,45000,Suspension Repair,"Mahindra Thar. 45,000 km. User is an off-roader. Found bent suspension arm. Replaced."
VW Taigun,2020.0,5.0,28000,Oil Change,"VW Taigun. 28,000 km. Service reminder was on. Did the scheduled service. Oil changed."
Toyota Glanza,2020.0,5.0,31000,Brake Service,"Toyota Glanza. 31,000 km. Customer asked for brake cleaning. Performed. No pad replacement needed."
Kia Sonet,2020.0,5.0,49000,DPF Service,"Kia Sonet. 49,000 km. DPF warning light. Performed a forced regeneration of the Diesel Particulate Filter."
Ford Figo,2020.0,5.0,90000,Timing Belt Replacement,"Ford Figo. 90,000 km. Major service. Changed timing belt, tensioner, and water pump."
Hyundai Alcazar,2020.0,5.0,35000,Wheel Alignment,"Hyundai Alcazar. 35,000 km. Standard service. Also did wheel alignment."
Maruti Ciaz,2020.0,5.0,100000,Transmission Service,"Maruti Ciaz. 100,000 km service. Replaced transmission fluid (manual). Gear shifts feel smoother."
Tata Safari,2020.0,5.0,38000,Checkup,"Tata Safari. 38,000 km. Service. No complaints."
Honda CR-V,2020.0,5.0,115000,Tire Replacement,"Honda CR-V. 115,000 km. All four tires replaced with new Michelins."
Mahindra Bolero,2020.0,5.0,80000,Suspension Repair,"Mahindra Bolero Camper. 80,000 km. Leaf spring suspension checked and re-greased."
Renault Duster,2020.0,5.0,110000,Clutch Replacement,"Renault Duster 85ps. 110,000 km. Clutch is worn out. Replaced clutch kit."
VW Polo,2020.0,5.0,95000,Engine Repair,"VW Polo. 95,000 km. Engine overheating. Found faulty radiator fan motor. Replaced motor."
Toyota Yaris,2020.0,5.0,50000,Brake Replacement,"Toyota Yaris. 50,000 km. Replaced front brake pads. Rear brakes are drum, cleaned them."
Kia Carnival,2020.0,5.0,55000,Tire Rotation,"Kia Carnival. 55,000 km. Service and tire rotation."
Ford Aspire,2020.0,5.0,75000,Checkup,"Ford Aspire. 75,000 km. General service. Nothing to report."
Hyundai Aura,2020.0,5.0,30000,Checkup,"Hyundai Aura. 30,000 km. Third free service. Oil change and wash."
Maruti S-Presso,2020.0,5.0,28000,Checkup,"Maruti S-Presso. 28,000 km. Service."
Tata Tiago JTP,2020.0,5.0,40000,Checkup,"Tata Tiago JTP. 40,000 km. Performance check. All parameters normal."
Honda Civic,2020.0,5.0,120000,Suspension Repair,"Honda Civic. 120,000 km. All four shock absorbers and link rods replaced. Suspension feels like new."
Mahindra KUV100,2020.0,5.0,70000,Checkup,"Mahindra KUV100. 70,000 km. General service. Topped up fluids."
Renault Kiger,2020.0,5.0,30000,Checkup,"Renault Kiger. 30,000 km. Second service."
VW Virtus,2020.0,5.0,25000,Oil Change,"VW Virtus. 25,000 km. Checkup and oil service."
Toyota Camry,2020.0,5.0,70000,Checkup,"Toyota Camry. 70,000 km. Service. Hybrid system checked."
Kia EV6,2020.0,5.0,30000,Fluid Top-up,"Kia EV6. 30,000 km. Checkup. Coolant level for battery was slightly low. Topped up."
Ford Endeavour,2020.0,5.0,90000,Checkup,"Ford Endeavour 2.2. 90,000 km. Service done."
Hyundai Kona Electric,2020.0,5.0,45000,Brake Service,"Hyundai Kona Electric. 45,000 km. Brake fluid was due for replacement. Changed it."
Maruti Grand Vitara,2020.0,5.0,20000,Checkup,"Maruti Grand Vitara. 20,000 km. Second service."
Tata Nexon EV,2020.0,5.0,40000,Checkup,"Tata Nexon EV. 40,000 km. General checkup."
Honda City Hybrid,2020.0,5.0,30000,Checkup,"Honda City Hybrid. 30,000 km. Service."
Mahindra XUV700,2020.0,5.0,30000,Oil Change,"Mahindra XUV700. 30,000 km. Oil service."
Renault Triber,2020.0,5.0,50000,Spark Plug Replacement,"Renault Triber. 50,000 km. Replaced spark plugs and cleaned throttle body."
VW Tiguan,2020.0,5.0,60000,Transmission Service,"VW Tiguan. 60,000 km service. Changed Haldex fluid for the AWD system."
Toyota Fortuner,2020.0,5.0,165000,Checkup,"Toyota Fortuner. 180,000 km. Service."
Kia Seltos,2020.0,5.0,85000,Checkup,"Kia Seltos. 85,000 km. General checkup."
Ford Mustang,2020.0,5.0,40000,Transmission Service,"Ford Mustang. 40,000 km. Service. Changed engine oil and rear differential fluid."
Hyundai Verna,2020.0,5.0,100000,Checkup,"Hyundai Verna. 110,000 km. Timing chain checked. No issues."
Maruti Ignis,2020.0,5.0,55000,Suspension Repair,"Maruti Ignis. 55,000 km. Replaced front lower arm bushes."
Tata Harrier,2020.0,5.0,70000,Checkup,"Tata Harrier. 70,000 km. AdBlue top up and service."
Honda Accord,2020.0,5.0,130000,Transmission Service,"Honda Accord. 140,000 km. Transmission fluid changed."
Mahindra Marazzo,2020.0,5.0,80000,Brake Replacement,"Mahindra Marazzo. 90,000 km. Brake pads and discs replaced."
Renault Lodgy,2020.0,5.0,90000,Timing Belt Replacement,"Renault Lodgy. 100,000 km. Timing belt replacement done."
VW Ameo,2020.0,5.0,70000,Checkup,"VW Ameo. 80,000 km. Service."
Toyota Corolla Altis,2020.0,5.0,110000,Suspension Repair,"Toyota Corolla Altis. 110,000 km. Suspension work done."
Ford Fiesta,2020.0,5.0,120000,Clutch Replacement,"Ford Fiesta. 130,000 km. Clutch replaced."
Hyundai Elantra,2020.0,5.0,90000,Brake Replacement,"Hyundai Elantra. 100,000 km. Brake pads and rotors changed."
Maruti XL6,2020.0,5.0,50000,Tire Rotation,"Maruti XL6. 60,000 km. Service and tire rotation."
Tata Tigor,2020.0,5.0,40000,AC Service,"Tata Tigor. 50,000 km. AC check and service."
Honda BR-V,2020.0,5.0,80000,Checkup,"Honda BR-V. 90,000 km. Major service."
Mahindra TUV300,2020.0,5.0,90000,Checkup,"Mahindra TUV300. 100,000 km. General service."
Renault Scala,2020.0,5.0,70000,Transmission Service,"Renault Scala CVT. 80,000 km. CVT fluid changed."
VW Jetta,2020.0,5.0,120000,Timing Belt Replacement,"VW Jetta. 130,000 km. Timing belt service."
Toyota Prius,2020.0,5.0,90000,Checkup,"Toyota Prius. 100,000 km. Hybrid system checkup."
Ford Figo Aspire,2020.0,5.0,65000,Brake Service,"Ford Figo Aspire. 75,000 km. Brake service."
Hyundai Santro,2020.0,5.0,40000,Checkup,"Hyundai Santro. 50,000 km. Service."
Maruti Wagon R,2020.0,5.0,60000,Clutch Repair,"Maruti Wagon R. 70,000 km. Clutch work done."
Tata Indica,2020.0,5.0,120000,Oil Leak Repair,"Tata Indica. 130,000 km. Engine oil leak fixed."
Honda Mobilio,2020.0,5.0,90000,Suspension Repair,"Honda Mobilio. 100,000 km. Suspension noise fixed."
Mahindra Quanto,2020.0,5.0,100000,Checkup,"Mahindra Quanto. 110,000 km. General service."
Renault Pulse,2020.0,5.0,60000,Brake Replacement,"Renault Pulse. 70,000 km. Brake pad change."
VW Beetle,2020.0,5.0,50000,Checkup,"VW Beetle. 60,000 km. Service."
Toyota Etios,2020.0,5.0,110000,Clutch Replacement,"Toyota Etios. 120,000 km. Clutch replacement."
Ford Fusion,2020.0,5.0,140000,Checkup,"Ford Fusion. 150,000 km. Major service."
Hyundai Eon,2020.0,5.0,60000,Checkup,"Hyundai Eon. 70,000 km. Service."
Maruti Alto,2020.0,5.0,80000,Clutch Replacement,"Maruti Alto. 90,000 km. Clutch plate change."
Tata Nano,2020.0,5.0,50000,AC Service,"Tata Nano. 60,000 km. AC service."
Honda Brio,2020.0,5.0,70000,Brake Service,"Honda Brio. 80,000 km. Brake service."
Mahindra Verito,2020.0,5.0,110000,Checkup,"Mahindra Verito. 120,000 km. General service."
Renault Fluence,2020.0,5.0,100000,Timing Belt Replacement,"Renault Fluence. 110,000 km. Timing belt."
Toyota Etios Cross,2020.0,5.0,90000,Suspension Repair,"Toyota Etios Cross. 100,000 km. Suspension check."
Ford Ikon,2020.0,5.0,160000,Checkup,"Ford Ikon. 170,000 km. Service."
Hyundai Accent,2020.0,5.0,130000,Clutch Replacement,"Hyundai Accent. 140,000 km. Clutch replacement."
Maruti Zen,2020.0,5.0,100000,Engine Cleaning,"Maruti Zen. 110,000 km. Carburetor cleaning."
Tata Sierra,2020.0,5.0,165000,Checkup,"Tata Sierra. 220,000 km. General checkup."
Mahindra Armada,2020.0,5.0,165000,Engine Repair,"Mahindra Armada. 300,000 km. Engine work."
Renault Logan,2020.0,5.0,120000,Timing Belt Replacement,"Renault Logan. 130,000 km. Timing belt change."
VW Touareg,2020.0,5.0,100000,Suspension Repair,"VW Touareg. 110,000 km. Suspension service."
Toyota Qualis,2020.0,5.0,165000,Oil Change,"Toyota Qualis. 450,000 km. Still running. Oil change."
Maruti Swift,2020.0,5.0,68000,Fluid Top-up,"Maruti Swift, 2017. Mileage: 68,000 km. Customer complained of heavy steering. Power steering fluid was low. Topped up and checked for leaks. Found minor leak in a hose."
Hyundai Creta,2020.0,5.0,95000,Engine Cleaning,"Hyundai Creta 1st gen. 95,000 kms. Check engine light on. Scan tool showed EGR valve stuck. Cleaned the EGR valve."
Tata Nexon,2020.0,5.0,55000,Spark Plug Replacement,"Tata Nexon Petrol. 55,000 km. Regular service. Replaced spark plugs."
Honda City,2020.0,5.0,61000,Transmission Service,"Honda City 2018. Odometer at 61,000. Transmission fluid (CVT) changed as per schedule. Very important for CVT gearbox health."
Kia Seltos,2020.0,5.0,70000,DPF Service,"Kia Seltos Diesel. 70,000 km. DPF issue. Frequent regens needed. Advised highway runs."
Ford Ecosport,2020.0,5.0,95000,Engine Repair,"Ford Ecosport. 95,000 km. Coolant disappearing slowly. Could not find external leak. Suspect minor head gasket leak."
Toyota Innova,2020.0,5.0,165000,Suspension Repair,"Toyota Innova. 2,20,000 km. Suspension overhaul. Replaced all shock absorbers, bushes, and ball joints."
Skoda Rapid,2020.0,5.0,110000,Timing Belt Replacement,"Skoda Rapid. 110,000 km. Timing belt and water pump replaced. Major preventative service."
Mahindra XUV500,2020.0,5.0,125000,Alternator Replacement,"Mahindra XUV500 W10. 125,000 km. Alternator failed. Replaced alternator."
VW Polo,2020.0,5.0,78000,Sensor Replacement,"VW Polo. 78,000 km. ABS light is on. Faulty wheel speed sensor on rear left wheel. Replaced sensor."
Maruti Ertiga,2020.0,5.0,45000,Wheel Alignment,"2020 Maruti Ertiga. 45,000 km. Standard service. Also performed wheel alignment and balancing."
Hyundai i20,2020.0,5.0,65000,Motor Replacement,"Hyundai i20 Asta. 65,000 kms. Wiper motor not working. Replaced motor."
Tata Harrier,2020.0,5.0,75000,Software Update,"Tata Harrier XZ+. 75,000 km. Infotainment system lagging. Performed a hard reset. Seems faster now."
Honda Amaze,2020.0,5.0,105000,Engine Repair,"Honda Amaze. 105,000 km. Engine mount vibration. Replaced all three engine mounts."
Renault Kwid,2020.0,5.0,50000,Brake Replacement,"Renault Kwid. 50,000 km. Service. Replaced front brake pads."
Toyota Fortuner,2020.0,5.0,165000,Oil Change,"Toyota Fortuner. 1,90,000 km. Service. No complaints. Just regular oil change."
Jeep Compass,2020.0,5.0,70000,Filter Replacement,"Jeep Compass. 70,000 km. Service. Also replaced cabin air filter."
Nissan Magnite,2020.0,5.0,35000,Checkup,"Nissan Magnite. 35,000 km. Checkup. Washed and cleaned."
MG Hector Plus,2020.0,5.0,10000,Oil Change,"2023 MG Hector Plus. 10,000 kms. First service. Oil change."
Skoda Slavia,2020.0,5.0,40000,Checkup,"Skoda Slavia. 40,000 km. Service. No issues."
Maruti Baleno,2020.0,5.0,78000,Steering Repair,"Maruti Baleno. 78,000 km. Steering making noise. Steering rack issue. Advised replacement."
Hyundai Venue,2020.0,5.0,48000,Checkup,"Hyundai Venue. 48,000 km. Service."
Tata Punch,2020.0,5.0,30000,Oil Change,"Tata Punch. 30,000 km. Third service. Oil and filter change."
Honda WR-V,2020.0,5.0,68000,Brake Service,"Honda WR-V. 68,000 km. Handbrake service done."
Mahindra Thar,2020.0,5.0,55000,Body Repair,"Mahindra Thar. 55,000 km. Underbody coating done."
VW Taigun,2020.0,5.0,38000,Checkup,"VW Taigun. 38,000 km. Service."
Toyota Glanza,2020.0,5.0,41000,Brake Service,"Toyota Glanza. 41,000 km. Brake cleaning."
Kia Sonet,2020.0,5.0,59000,Checkup,"Kia Sonet. 59,000 km. Service."
Ford Figo,2020.0,5.0,105000,Checkup,"Ford Figo. 105,000 km. Service."
Hyundai Alcazar,2020.0,5.0,45000,Wheel Alignment,"Hyundai Alcazar. 45,000 km. Service. Wheel alignment."
Maruti Ciaz,2020.0,5.0,110000,Transmission Service,"Maruti Ciaz. 110,000 km service. Transmission fluid changed."
Tata Safari,2020.0,5.0,48000,Checkup,"Tata Safari. 48,000 km. Service."
Honda CR-V,2020.0,5.0,125000,Tire Replacement,"Honda CR-V. 125,000 km. Tires replaced."
Mahindra Bolero,2020.0,5.0,90000,Suspension Repair,"Mahindra Bolero Power Plus. 90,000 km. Leaf spring checked."
Renault Duster,2020.0,5.0,120000,Clutch Replacement,"Renault Duster. 120,000 km. Clutch replaced."
VW Polo GT,2020.0,5.0,100000,Transmission Service,"VW Polo GT TSI. 100,000 km. DSG service."
Toyota Yaris,2020.0,5.0,60000,Brake Replacement,"Toyota Yaris. 60,000 km. Brake pads replaced."
Kia Carnival,2020.0,5.0,65000,Checkup,"Kia Carnival. 65,000 km. Service."
Ford Aspire,2020.0,5.0,85000,Checkup,"Ford Aspire. 85,000 km. General service."
Hyundai Aura,2020.0,5.0,40000,Checkup,"Hyundai Aura. 40,000 km. Free service."
Maruti S-Presso,2020.0,5.0,38000,Checkup,"Maruti S-Presso. 38,000 km. Service."
Tata Tiago,2020.0,5.0,60000,Coolant Replacement,"Tata Tiago. 60,000 km. Coolant changed."
Honda Civic,2020.0,5.0,130000,Suspension Repair,"Honda Civic. 130,000 km. Shock absorbers replaced."
Mahindra KUV100,2020.0,5.0,80000,Checkup,"Mahindra KUV100. 80,000 km. General service."
Renault Kiger,2020.0,5.0,40000,Checkup,"Renault Kiger. 40,000 km. Second service."
VW Virtus,2020.0,5.0,35000,Checkup,"VW Virtus. 35,000 km. Checkup."
Toyota Camry,2020.0,5.0,80000,Checkup,"Toyota Camry. 80,000 km. Service."
Kia EV6,2020.0,5.0,40000,Checkup,"Kia EV6. 40,000 km. Checkup."
Ford Endeavour,2020.0,5.0,110000,Checkup,"Ford Endeavour. 110,000 km. Major service."
Hyundai Kona Electric,2020.0,5.0,55000,Brake Service,"Hyundai Kona Electric. 55,000 km. Brake fluid change."
Maruti Grand Vitara,2020.0,5.0,30000,Checkup,"Maruti Grand Vitara. 30,000 km. Second service."
Tata Nexon EV,2020.0,5.0,50000,Checkup,"Tata Nexon EV. 50,000 km. General checkup."
Honda City Hybrid,2020.0,5.0,40000,Checkup,"Honda City Hybrid. 40,000 km. Service."
Mahindra XUV700,2020.0,5.0,40000,Oil Change,"Mahindra XUV700. 40,000 km. Oil service."
Renault Triber,2020.0,5.0,60000,Spark Plug Replacement,"Renault Triber. 60,000 km. Spark plugs replaced."
VW Tiguan,2020.0,5.0,70000,Checkup,"VW Tiguan. 70,000 km service."
Toyota Fortuner,2020.0,5.0,165000,Engine Cleaning,"Toyota Fortuner. 200,000 km. Injector cleaning."
Kia Seltos,2020.0,5.0,95000,Checkup,"Kia Seltos. 95,000 km. General checkup."
Ford Mustang,2020.0,5.0,50000,Checkup,"Ford Mustang. 50,000 km. Service."
Hyundai Verna,2020.0,5.0,110000,Checkup,"Hyundai Verna. 110,000 km. Timing chain checked."
Maruti Ignis,2020.0,5.0,65000,Suspension Repair,"Maruti Ignis. 65,000 km. Lower arm bushes replaced."
Tata Harrier,2020.0,5.0,80000,Checkup,"Tata Harrier. 80,000 km. AdBlue top up and service."
Honda Accord,2020.0,5.0,140000,Transmission Service,"Honda Accord. 140,000 km. Transmission fluid changed."
Mahindra Marazzo,2020.0,5.0,90000,Brake Replacement,"Mahindra Marazzo. 90,000 km. Brake pads and discs replaced."
Renault Lodgy,2020.0,5.0,100000,Timing Belt Replacement,"Renault Lodgy. 100,000 km. Timing belt replacement done."
VW Ameo,2020.0,5.0,80000,Checkup,"VW Ameo. 80,000 km. Service."
Ford Fiesta,2020.0,5.0,130000,Clutch Replacement,"Ford Fiesta. 130,000 km. Clutch replaced."
Hyundai Elantra,2020.0,5.0,100000,Brake Replacement,"Hyundai Elantra. 100,000 km. Brake pads and rotors changed."
Maruti XL6,2020.0,5.0,60000,Tire Rotation,"Maruti XL6. 60,000 km. Service and tire rotation."
Tata Tigor,2020.0,5.0,50000,AC Service,"Tata Tigor. 50,000 km. AC check and service."
Honda BR-V,2020.0,5.0,90000,Checkup,"Honda BR-V. 90,000 km. Major service."
Mahindra TUV300,2020.0,5.0,100000,Checkup,"Mahindra TUV300. 100,000 km. General service."
Renault Scala,2020.0,5.0,80000,Transmission Service,"Renault Scala CVT. 80,000 km. CVT fluid changed."
VW Jetta,2020.0,5.0,130000,Timing Belt Replacement,"VW Jetta. 130,000 km. Timing belt service."
Toyota Prius,2020.0,5.0,100000,Checkup,"Toyota Prius. 100,000 km. Hybrid system checkup."
Ford Figo Aspire,2020.0,5.0,75000,Brake Service,"Ford Figo Aspire. 75,000 km. Brake service."
Hyundai Santro,2020.0,5.0,50000,Checkup,"Hyundai Santro. 50,000 km. Service."
Maruti Wagon R,2020.0,5.0,70000,Clutch Repair,"Maruti Wagon R. 70,000 km. Clutch work done."
Tata Indica,2020.0,5.0,130000,Oil Leak Repair,"Tata Indica. 130,000 km. Engine oil leak fixed."
Honda Mobilio,2020.0,5.0,100000,Suspension Repair,"Honda Mobilio. 100,000 km. Suspension noise fixed."
Mahindra Quanto,2020.0,5.0,110000,Checkup,"Mahindra Quanto. 110,000 km. General service."
Renault Pulse,2020.0,5.0,70000,Brake Replacement,"Renault Pulse. 70,000 km. Brake pad change."
VW Beetle,2020.0,5.0,60000,Checkup,"VW Beetle. 60,000 km. Service."
Toyota Etios,2020.0,5.0,120000,Clutch Replacement,"Toyota Etios. 120,000 km. Clutch replacement."
Ford Fusion,2020.0,5.0,150000,Checkup,"Ford Fusion. 150,000 km. Major service."
Hyundai Eon,2020.0,5.0,70000,Checkup,"Hyundai Eon. 70,000 km. Service."
Maruti Alto,2020.0,5.0,90000,Clutch Replacement,"Maruti Alto. 90,000 km. Clutch plate change."
Tata Nano,2020.0,5.0,60000,AC Service,"Tata Nano. 60,000 km. AC service."
Honda Brio,2020.0,5.0,80000,Brake Service,"Honda Brio. 80,000 km. Brake service."
Mahindra Verito,2020.0,5.0,120000,Checkup,"Mahindra Verito. 120,000 km. General service."
Renault Fluence,2020.0,5.0,110000,Timing Belt Replacement,"Renault Fluence. 110,000 km. Timing belt."
Toyota Etios Cross,2020.0,5.0,100000,Suspension Repair,"Toyota Etios Cross. 100,000 km. Suspension check."
Ford Ikon,2020.0,5.0,165000,Checkup,"Ford Ikon. 170,000 km. Service."
Hyundai Accent,2020.0,5.0,140000,Clutch Replacement,"Hyundai Accent. 140,000 km. Clutch replacement."
Maruti Zen,2020.0,5.0,110000,Engine Cleaning,"Maruti Zen. 110,000 km. Carburetor cleaning."
Tata Sierra,2020.0,5.0,165000,Checkup,"Tata Sierra. 220,000 km. General checkup."
Mahindra Armada,2020.0,5.0,165000,Engine Repair,"Mahindra Armada. 300,000 km. Engine work."
Renault Logan,2020.0,5.0,130000,Timing Belt Replacement,"Renault Logan. 130,000 km. Timing belt change."
VW Touareg,2020.0,5.0,110000,Suspension Repair,"VW Touareg. 110,000 km. Suspension service."
Toyota Qualis,2020.0,5.0,165000,Oil Change,"Toyota Qualis. 450,000 km. Still running. Oil change."
